"id";"descricao";"valorPrevisto"
"1";"Projetos";"37000"
"2";"Documentação";"20000"
"3";"M O Construtora";"700000"
"4";"Terraplanagem e brocas";"15000"
"5";"Materiais básicos";"133000"
"6";"Móveis planejados";"230000"
"7";"Materiais pintura";"55000"
"8";"Materiais elétricos";"30000"
"9";"Aluguel equipamentos ";"16000"
"10";"Calhas";"18000"
"11";"Lajes e escoras";"30000"
"12";"Materiais Hidráulicos ";"25000"
"13";"Piscina";"55000"
"14";"Revestimentos";"80000"
"15";"Mármores e Granitos";"50000"
"16";"Esquadrias de Alumínio";"90000"
"17";"Portas batentes e acessórios";"50000"
"18";"Concreto";"55000"
"19";"Blocos e tijolos";"35000"
"20";"Madeira e caixaria";"30000"
"21";"Ferragem";"60000"
"22";"Limpeza final";"6000"
"23";"Tubulação de ar";"8000"
"24";"Piso grama e pedras";"10000"
"25";"Peças iluminação";"30000"
"26";"Espelhos e box";"20000"
"27";"Puxadores";"5000"
"28";"Sonorização";"40000"
"29";"M O assentamento portas";"12000"
"30";"M O gesseiro e forro madeira";"100000"
"31";"Excluir";"0,01"
